,epa_registration_number,product_name,municipality,zip_code,dosage,dosage_rate,place,qtty_used,units,county_code,address
0,000524‐00579,ROUNDUP PROMAX,Bronx,10461,1.5,percent,Orchard Beach,177,ML,58,Orchard Beach Rd/Park Dr
1,000524‐00579,ROUNDUP PROMAX,Bronx,10461,3,percent,Orchard Beach,250,ML,58,Orchard Beach Rd/Park Dr
2,000524‐00579,ROUNDUP PROMAX,Bronx,10458,1.5,percent,Greenstreet,5,ML,58,Bedford Bark Blvd/Southern Blvd
3,000524‐00579,ROUNDUP PROMAX,Bronx,10468,1.5,percent,Greenstreet,118,ML,58,Goulden Ave/Reservoir Ave
4,000524‐00579,ROUNDUP PROMAX,Bronx,10458,1.5,percent,Greenstreet,75,ML,58,Grand Concourse/E Mosholu Pkwy
5,000524‐00579,ROUNDUP PROMAX,Bronx,10463,1.5,percent,Greenstreet,5,ML,58,Irwin Ave/Riverdale Ave
6,000524‐00579,ROUNDUP PROMAX,Bronx,10470,1.5,percent,van Cortlandt Park Nursery Rd,5,ML,58,Van Cortlandt Park E/242 St
7,000524‐00579,ROUNDUP PROMAX,Bronx,10458,1.5,percent,Greenstreet,75,ML,58,Van Cortlandt Park E/E Mosholu Pkwy
8,000524‐00579,ROUNDUP PROMAX,Bronx,10463,1.5,percent,Sedgwick Malls Greenstreets,18,OZ,58,Sedgwick Ave / Dickerson Ave
9,000524‐00579,ROUNDUP PROMAX,Bronx,10471,1.5,percent,Van Cortlandt Park Broadway Malls,60,ML,58,Van Cortlandt Park S/Broadway/W 242 St
10,000524‐00579,ROUNDUP PROMAX,Bronx,10471,1.5,percent,Van Cortlandt Park Tail,60,ML,58,Van Cortlandt Park South/Broadway
11,000524‐00579,ROUNDUP PROMAX,Bronx,10464,3,percent,Clay pile,12,OZ,58,100 City Island Rd
12,000524‐00579,ROUNDUP PROMAX,Bronx,10464,3,percent,Road curbing,6,OZ,58,100 City Island Rd
13,000524‐00579,ROUNDUP PROMAX,Bronx,10468,1.5,percent,Bailey Playground,2,OZ,58,Bailey Ave/E 234 St to E 238 St
14,000524‐00579,ROUNDUP PROMAX,Bronx,10465,1.5,percent,Vinmont Veteran Bicentennial Park,2,OZ,58,Ellsworth Ave/Schley Ave
15,000524‐00579,ROUNDUP PROMAX,Bronx,10464,3,percent,Soil pile,10,OZ,58,100 City Island Rd
16,000524‐00579,ROUNDUP PROMAX,Bronx,10464,3,percent,"Parking lot, around building",8,OZ,58,100 City Island Rd
17,000524‐00579,ROUNDUP PROMAX,Bronx,10451,2.5,oz/gal,Greenstreet,5,OZ,58,E 161 St / Jerome Ave
18,000524‐00579,ROUNDUP PROMAX,Bronx,10468,2.5,oz/gal,Fordham Landing,5,OZ,58,Fordham Landing/Major Deegan Expy
19,000524‐00579,ROUNDUP PROMAX,Bronx,10451,2.5,oz/gal,Fordham Median,5,OZ,58,Fordham Rd by Hughes St
20,000524‐00579,ROUNDUP PROMAX,Bronx,10463,2.5,oz/gal,Bailey Playground,3,OZ,58,Bailey Ave / W 234 St
21,000524‐00579,ROUNDUP PROMAX,Bronx,10469,2,percent,Edenwald Playground,1,OZ,58,Schieffelin Ave/E 229 St
22,000524‐00579,ROUNDUP PROMAX,Bronx,10463,2.5,oz/gal,Fort Independence Playground,5,OZ,58,Stevenson Place/Sedgwick Ave
23,000524‐00579,ROUNDUP PROMAX,Bronx,10462,2,percent,Greenstreet,1,OZ,58,Taylor Ave/ McGraw Ave
24,000524‐00579,ROUNDUP PROMAX,Bronx,10470,2.5,oz/gal,Van Cortlandt Park,12,OZ,58,Van Cortlandt Park E/ E 242 St
25,000524‐00579,ROUNDUP PROMAX,Bronx,10460,1.5,percent,Median,66,OZ,58,E Fordham Rd Median
26,000524‐00579,ROUNDUP PROMAX,Bronx,10472,2,percent,Colgate Close Park,5,OZ,58,Close Ave/Bruckner Blvd
27,000524‐00579,ROUNDUP PROMAX,Bronx,10454,1.5,percent,Greenstreet,6,OZ,58,Bruckner Blvd/E 133 St
28,000524‐00579,ROUNDUP PROMAX,Bronx,10474,1.5,percent,Greenstreet,8,OZ,58,Randall Av/Longfellow Av/Hunts Point Av
29,000524‐00579,ROUNDUP PROMAX,Bronx,10455,1.5,percent,Greenstreet,2,OZ,58,Southern Blvd/E 149 St/Prospect Av
30,000524‐00579,ROUNDUP PROMAX,Bronx,10463,1.5,percent,Greenstreet,5,OZ,58,Bailey Ave/ W 233 St
31,000524‐00579,ROUNDUP PROMAX,Bronx,10463,1.5,percent,Greenstreet,2,OZ,58,Bailey Ave/E 233 St
32,000524‐00579,ROUNDUP PROMAX,Bronx,10462,1.5,percent,Broadway Malls Greenstreets,14,OZ,58,Broadway /W 242 St/Van Cortlandt P S
33,000524‐00579,ROUNDUP PROMAX,Bronx,10462,1.5,percent,Broadway Malls Greenstreets,7,OZ,58,Broadway/W 242 St/Van Cortlandt Park S
34,000524‐00579,ROUNDUP PROMAX,Bronx,10463,1.5,percent,Sedgwick Malls Greenstreets,26,OZ,58,Sedgwick Ave/Dickerson Ave
35,000524‐00579,ROUNDUP PROMAX,Bronx,10463,1.5,percent,Sedgwick Malls Greenstreets,18,OZ,58,Sedgwick Ave/Gouverneur Ave/Dickerson Av
36,000524‐00579,ROUNDUP PROMAX,Bronx,10474,1.5,percent,Hunts Point Rec Center,5,OZ,58,Manida St / Lafayette Ave
37,000524‐00579,ROUNDUP PROMAX,Bronx,10473,1.5,percent,Pugsley Creek Park,2,OZ,58,White Plains Rd / Patterson Ave
38,000524‐00579,ROUNDUP PROMAX,Bronx,10451,1.5,percent,Patterson Playground,2,OZ,58,Morris Ave/College Ave
39,000524‐00579,ROUNDUP PROMAX,Bronx,10458,1.5,percent,Webster Houses Garden,1,OZ,58,Webster Ave/E Mosholu Pkwy South
40,000524‐00579,ROUNDUP PROMAX,Bronx,10473,1.5,percent,Pugsley Creek Park,1,OZ,58,White Plains Rd/Stephens Ave/Compton Ave
41,000524‐00579,ROUNDUP PROMAX,Bronx,10463,1.5,percent,Riverdale Park,6,OZ,58,Palisade Ave/W 232 St
42,000524‐00579,ROUNDUP PROMAX,Bronx,10467,1.5,percent,Williamsbridge Oval,2,OZ,58,Reservoir Oval W/Bainbridge Ave
43,000524‐00579,ROUNDUP PROMAX,Bronx,10471,1.5,percent,Broadway Malls Greenstreet,20,OZ,58,Broadway /W 242 St/Van Cortlandt Park S
44,000524‐00579,ROUNDUP PROMAX,Bronx,10468,1.5,percent,Fordham Landing Playground,1,OZ,58,Landing Rd off Fordham Rd
