,epa_registration_number,product_name,qtty_used,units,dosage_rate,place,date_of_application,address,municipality,zip_code
3,524‐579,ROUND UP PRO MAX,7.5,FL,3%,ADAM YAUCH PARK,09/25/2017,"ATLANTIC AVENUE, HICKS STREET, BQE ENTRANCE RAMP",KINGS,11201
4,524‐579,ROUND UP PRO MAX,3.5,FL,3%,ALBERT J PARHAM PLAYGROUND,09/12/2017,"ADELPHI STREET, CLERMONT STREET, WILLOUGHBY AVENUE",KINGS,11201
5,524‐597,ROUND UP PRO MAX,1.3,FL,4%,BRIDGE PARK,07/27/2017,"JAY STREET, YORK STREET, PROSPECT AVENUE",KINGS,11201
6,524‐597,ROUND UP PRO MAX,9,FL,4%,BRIDGE PARK,07/27/2017,"JAY STREET, YORK STREET, PROSPECT AVENUE",KINGS,11201
7,524‐597,ROUND UP PRO MAX,25.6,FL,4%,CADMAN PLAZA PARK,07/27/2017,"TILLARY STREET, CADMAN PLAZA/CADMAN PLAZA EAST",KINGS,11201
8,524‐579,ROUND UP PRO MAX,2.6,FL,4%,CALVERT VAUX PARK,06/26/2017,"BAY 44TH STREET, SHORE PARKWAY, BAY 49TH STREET",KINGS,11214
9,524‐579,ROUND UP PRO MAX,2.6,FL,4%,CALVERT VAUX PARK,08/19/2017,"BAY 44TH STREET, SHORE PARKWAY, BAY 49TH STREET",KINGS,11214
10,524‐579,ROUND UP PRO MAX,20.5,FL,4%,CALVERT VAUX PARK,08/25/2017,"BAY 44TH STREET, SHORE PARKWAY, BAY 49TH STREET",KINGS,11214
11,524‐579,ROUND UP PRO MAX,1.3,FL,4%,CALVERT VAUX PARK,08/26/2017,"BAY 44TH STREET, SHORE PARKWAY, BAY 49TH STREET",KINGS,11214
12,524‐579,ROUND UP PRO MAX,15,FL,3%,COFFEY PARK,09/14/2017,"DWIGHT STREET, RICHARDS STREET, VERONA STREET",KINGS,11231
13,524‐579,ROUND UP PRO MAX,11.5,FL,3%,COFFEY PARK,08/09/2017,"KING STREET, RICHARDS STREET, VERONA STREET",KINGS,11231
14,524‐579,ROUND UP PRO MAX,11.5,FL,3%,COFFEY PARK,08/11/2017,"KING STREET, RICHARDS STREET, VERONA STREET",KINGS,11231
15,524‐579,ROUND UP PRO MAX,15,FL,3%,COFFEY PARK,09/14/2017,"DWIGHT STREET, RICHARDS STREET, VERONA STREET",KINGS,11231
16,524‐579,ROUND UP PRO MAX,30,FL,3%,COMMODORE BARRY PARK,05/19/2017,"NASSAU STREET, FLUSHING AVENUE, NAVY STREET",KINGS,11201
17,524‐579,ROUND UP PRO MAX,30,FL,3%,COMMODORE BARRY PARK,07/11/2017,"NASSAU STREET, FLUSHING AVENUE, NAVY STREET",KINGS,11201
18,524‐579,ROUND UP PRO MAX,11.5,FL,3%,COMMODORE BARRY PARK,09/01/2017,"NORTH ELLIOTT PLACE, FLUSHING AVENUE, PARK AVENUE",KINGS,11201
19,524‐579,ROUND UP PRO MAX,20.5,FL,4%,CONEY ISLAND BOAT BASIN,06/26/2017,"SHORE PARKWAY, WEST 22ND STREET, BAY 49TH ST",KINGS,11214
20,524‐597,ROUND UP PRO MAX,1.6,FL,8%,CRISPUS ATTUCKS PLAYGROUND,07/06/2017,"FULTON STREET, CLASSON AVENUE, IRVING PLACE",KINGS,11238
21,524‐579,ROUND UP PRO MAX,40,FL,3%,FOX PLAYGROUND,07/18/2017,"East 54th Street, East 55th Street, Avenue H",KINGS,11234
22,524‐579,ROUND UP PRO MAX,4,FL,3%,FULTON PARK,04/18/2017,"FULTON STREET, CHAUNCEY STREET, LEWIS AVENUE",KINGS,11233
23,524‐597,ROUND UP PRO MAX,3.8,FL,4%,GOLCONDA PLAYGROUND,07/27/2017,"CONCORD STREET, NASSAU STREET, NAVY STREET",KINGS,11201
24,524‐579,ROUND UP PRO MAX,7.7,FL,4%,GREENSTREET,08/05/2017,"CROPSEY AVENUE, HART PLACE, BAY 54TH STREET",KINGS,11214
25,524‐579,ROUND UP PRO MAX,2.6,FL,4%,GREENSTREET,08/05/2017,"CROPSEY AVENUE, HART PLACE, BAY 54TH STREET",KINGS,11214
26,524‐579,ROUND UP PRO MAX,10.24,FL,4%,GREENSTREET,08/05/2017,"SHORE PARKWAY, WEST 22ND STREET, BAY 49TH ST",KINGS,11214
27,524‐579,ROUND UP PRO MAX,32,FL,3%,GREENSTREET,09/12/2017,"66TH STREET, 67TH STREET/7TH AVENUE",KINGS,11220
28,524‐579,ROUND UP PRO MAX,16,FL,3%,GREENSTREET,09/12/2017,"AVENUE M, FLATBUSH AVENUE, RYDER STREET",KINGS,11234
29,524‐579,ROUND UP PRO MAX,64,FL,3%,GREENSTREET,09/12/2017,"AVENUE T, EAST 69TH STREET, VETERANS AVENUE",KINGS,11234
30,524‐579,ROUND UP PRO MAX,16,FL,3%,GREENSTREET,09/12/2017,"AVENUE T, EAST 61ST STREET, RALPH AVENUE",KINGS,11234
31,524‐579,ROUND UP PRO MAX,16,FL,3%,GREENSTREET,09/12/2017,AVENUE T/EAST 57TH STREET/FILLMORE AVENUE,KINGS,11234
32,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,05/20/2017,"JAY ST, SANDS ST, BQE EAST RAMP",KINGS,11201
33,524‐579,ROUND UP PRO MAX,6.4,FL,3%,GREENSTREET,05/20/2017,"UTICA AVE, REMSON AVE, EAST NEW YORK AVE",KINGS,11203
34,524‐579,ROUND UP PRO MAX,12.8,FL,3%,GREENSTREET,05/27/2017,"SEAVIEW AVE, EAST 105TH ST, EAST 108TH ST",KINGS,11236
35,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,05/27/2017,"SEAVIEW AVE, EAST 105TH ST, EAST 104TH ST",KINGS,11236
36,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,05/27/2017,"SEAVIEW AVE, EAST 103RD ST, EAST 104TH ST",KINGS,11236
37,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,05/27/2017,"SEAVIEW AVE, EAST 103RD ST, EAST 102ND ST",KINGS,11236
38,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,05/27/2017,"SEAVIEW AVE, EAST 101ST ST, EAST 102ND ST",KINGS,11236
39,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,05/27/2017,"SEAVIEW AVE, EAST 101ST ST, EAST 100TH ST",KINGS,11236
40,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,05/27/2017,"SEAVIEW AVE, EAST 99TH ST, EAST 100TH ST",KINGS,11236
41,524‐579,ROUND UP PRO MAX,6.4,FL,3%,GREENSTREET,05/27/2017,"SEAVIEW AVE, EAST 99TH ST, EAST 98TH ST",KINGS,11236
42,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/03/2017,"SEAVIEW AVE, EAST 93RD ST, CANARSIE RD",KINGS,11236
43,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/04/2017,"ORIENTAL BLVD, WEST END AVE, OXFORD ST",KINGS,11235
44,524‐579,ROUND UP PRO MAX,16,FL,3%,GREENSTREET,06/04/2017,"KINGS HIHGWAY, EAST 55TH STREET, AVE D",KINGS,11203
45,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/10/2017,"JAY STREET, SANDS STREET, BQE EAST RAMP",KINGS,11201
46,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/10/2017,"REMSEN AVE, RUTLAND ROAD, EAST 52ND ST",KINGS,11203
47,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/10/2017,"CHURCH AVE, KINGS HIGHWAY, EAST 57 ST",KINGS,11203
48,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/10/2017,"CHURCH AVE, KINGS HIGHWAY, EAST 58 ST",KINGS,11203
49,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/10/2017,"BAY 16 ST, NEW UTRECHT AVE, 82 ST",KINGS,11214
50,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/10/2017,"AVE O, 71ST STREET, BAY PARKWAY",KINGS,11204
51,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, GREEN ST, FREEMAN ST",KINGS,11222
52,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, GREEN ST, HURON ST",KINGS,11222
53,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, INDIA ST, HURON ST",KINGS,11222
54,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, INDIA ST, JAVA ST",KINGS,11222
55,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, KENT ST, JAVA ST",KINGS,11222
56,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, KENT ST, GREENPOINT AVE",KINGS,11222
57,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, CALYER ST, GREENPOINT AVE",KINGS,11222
58,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, CALYER ST, MESEROLE AVE",KINGS,11222
59,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, CALYER ST, MESEROLE AVE",KINGS,11222
60,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, NORMAN AVE, MESEROLE AVE",KINGS,11222
61,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, NORMAN AVE, NASSAU AVE",KINGS,11222
62,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, NORMAN AVE, NASSAU AVE",KINGS,11222
63,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, NEWTON ST, ENGERT AVE",KINGS,11222
64,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, DRIGGS AVE, GRAHAM AVE",KINGS,11222
65,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, BAYARD ST, NEWTON ST",KINGS,11222
66,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, DRIGGS AVE, BROOME ST",KINGS,11222
67,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/17/2017,"MCGUINNESS BLVD, DRIGGS AVE, ENGERT AVE",KINGS,11222
68,524‐579,ROUND UP PRO MAX,16,FL,3%,GREENSTREET,06/21/2017,"AVE N, FLATLANDS AVE, EAST 35 ST",KINGS,11234
69,524‐579,ROUND UP PRO MAX,6.4,FL,3%,GREENSTREET,06/21/2017,"AVE L, TROY AVE, EAST 41ST STREET",KINGS,11234
70,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/21/2017,"MILL LANE, RALPH AVE/MILL AVE",KINGS,11234
71,524‐579,ROUND UP PRO MAX,9.6,FL,5%,GREENSTREET,06/21/2017,"7TH AVE, 66TH STREET, 65TH STREET",KINGS,11220
72,524‐579,ROUND UP PRO MAX,6.4,FL,3%,GREENSTREET,06/22/2017,"SEAVIEW AVE, EAST 95TH STREET, EAST 96TH STREET",KINGS,11236
73,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/22/2017,"BEAVER AVE, BUSHWICK AVE, ARION PLACE",KINGS,11206
74,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, MESEROLE AVE, NORMAN AVE",KINGS,11222
75,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, GREEN ST, HURON ST",KINGS,11222
76,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, NORMAN AVE, NASSAU AVE",KINGS,11222
77,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, INDIA ST, HURON ST",KINGS,11222
78,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, DRIGGS AVE, GRAHAM AVE",KINGS,11222
79,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, INDIA STREET, JAVA STREET",KINGS,11222
80,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, BAYARD STREET, NEWTON STREET",KINGS,11222
81,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, BAYARD STREET, MEEKER AVE",KINGS,11222
82,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, DRIGGS AVE, BROOME STREET",KINGS,11222
83,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, ENGERT AVE, BROOME STREET",KINGS,11222
84,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, CALYER STREET, GREENPOINT AVE",KINGS,11222
85,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, CALYER STREET, MESEROLE AVE",KINGS,11222
86,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, CALYER STREET, MESEROLE AVE",KINGS,11222
87,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, DRIGGS AVE, NASSAU AVE",KINGS,11222
88,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, GREEN STREET, FREEMAN STREET",KINGS,11222
89,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, NEWTON STREET, ENGERT AVE",KINGS,11222
90,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, KENT STREET, JAVA STREET",KINGS,11222
91,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/25/2017,"MCGUINNESS BLVD, KENT STREET, GREENPOINT AVE",KINGS,11222
92,524‐579,ROUND UP PRO MAX,6.4,FL,3%,GREENSTREET,06/26/2017,"AVE D, DEWITT AVE, VAN SINDERAN AVE",KINGS,11236
93,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,06/30/2017,"JAY STREET, SANDS STREET, BQE EAST RAMP",KINGS,11201
94,524‐579,ROUND UP PRO MAX,16,FL,3%,GREENSTREET,07/02/2017,"GERRISTEN AVE, AVE X/BURNETT STREET",KINGS,11234
95,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,07/02/2017,"SEAVIEW AVE, EAST 95TH STREET, CANARSIE ROAD",KINGS,11236
96,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,07/02/2017,"KINGS HIGHWAY, EAST 54TH STREET, CLARENDON ROAD",KINGS,11203
97,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,07/10/2017,"KINGS HIGHWAY, EAST 53RD STREET, FOSTER AVE",KINGS,11203
98,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,07/10/2017,"KINGS HIGHWAY, EAST 55TH STREET, BEVERLY ROAD",KINGS,11203
99,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,07/10/2017,"KINGS HIGHWAY, LINDEN BLVD, REMSEN STREET",KINGS,11203
100,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,07/17/2017,"CADMAN PLAZA EAST, ADAMS STREET, RED CROSS PLACE",KINGS,11201
101,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,07/17/2017,"EASTERN PARKWAY, FULTON STREET, TRUXTON STREET",KINGS,11233
102,524‐579,ROUND UP PRO MAX,3.2,FL,3%,GREENSTREET,07/17/2017,"RALPH AVE, EAST 88TH STREET, SNYDER AVE",KINGS,11236
103,524‐579,ROUND UP PRO MAX,12.8,FL,3%,GREENSTREET,07/19/2017,"KINGS HIGHWAY, EAST 53RD STREET, FOSTER AVE",KINGS,11234
