EPA REGISTRATION NUMBER,PRODUCT NAME,DOSAGE,RATE,DATE OF APPLICATION,ADDRESS,ZIP CODE,COUNTY
62719-324,GLYPRO(RODEO),1 FL,2FL/G,6/12/2018 New Springville Greenway,,Park Drive North Mulberry Ave.Draper Pl.,10314 Richmond
524-579,RoundUp Pro Max,13 FL,6FL/G,8/5/2018 Lyons Pool Recreation Center,,20 Victory Blvd,10301 Richmond
524-579,RoundUp Pro Max,1 FL,2FL/G,6/6/2018 Blue Heron Park,,Poillon Ave. Amboy Rd.Allegro St.,10312 Richmond
62719-324,GLYPRO (RODEO),2 FL,2FL/G,8/23/2018 Clove Lakes Park,,Martling Ave.Slosson Ave.Brooks Pond Rd.,10301 Richmond
524-579,RoundUp Pro Max,2 FL,2FL/G,6/6/2018 Corporal Thompson Park,,Henderson Ave.Chappell St.Broadway,10310 Richmond
524-579,RoundUp Pro Max,6 FL,2FL/G,5/14/2018 Graniteville Quarry Park,,Forest Ave.Matthew Pl. Wilcox,10303 Richmond
524-579,RoundUp Pro Max,28.8 FL,4FL/G,8/26/2018 Greenstreet,,Hylan Blvd. Tompkins Ave. FoxHill Terr.,10305 Richmond
524-579,RoundUp Pro Max,3.2 FL,4FL/G,8/26/2018 Greenstreet,,Hylan Blvd. Reynolds St. Maryland Ln.,10305 Richmond
524-579,RoundUp Pro Max,12.8 FL,4FL/G,8/26/2018 Greenstreet,,Hylan Blvd. Reynolds St. Maryland Ln.,10305 Richmond
524-579,RoundUp Pro Max,12.8 FL,4FL/G,8/27/2018 Greenstreet,,Hylan Blvd. Maryland Ln. Kay Pl.,10305 Richmond
524-579,RoundUp Pro Max,19.2 FL,4FL/G,8/27/2018 Greenstreet,,Hylan Blvd. Maryland Ln. Kay Pl.,10305 Richmond
524-579,RoundUp Pro Max,19.2 FL,4FL/G,9/19/2018 Greenstreet,,Hylan Blvd. Reynolds St. FoxHill Terr.,10305 Richmond
524-579,RoundUp Pro Max,51.6 FL,4FL/G,9/20/2018 Greenstreet,,Hylan Blvd. Reynolds St. FoxHill Terr.,10305 Richmond
524-579,RoundUp Pro Max,13.2 FL,4FL/G,9/21/2018 Greenstreet,,Hylan Blvd. Reynolds St. FoxHill Terr.,10305 Richmond
524-579,RoundUp Pro Max,57.6 FL,4FL/G,9/30/2018 Greenstreet,,Hylan Blvd. Reynolds St. FoxHill Terr.,10305 Richmond
524-579,RoundUp Pro Max,6.4 FL,5FL/G,7/24/2018 South Beach Zone 2,,Father Capodanno Blvd. Sand Ln. Seaview Ave.,10305 Richmond
62719-324,GLYPRO(RODEO),10 FL,2FL/G,8/8/2018 William T. Davis Wildlife Refuge,,890 Travis Ave,10314 Richmond
62719-324,GLYPRO(RODEO),60.5 FL,6.5FL/G,8/10/2018 William T. Davis Wildlife Refuge,,890 Travis Ave,10314 Richmond
524-579,RoundUp Pro Max,6 FL,2FL/G,6/6/2018 Clove Lakes Park,,21 Slosson Ave.,10301 Richmond
524-579,RoundUp Pro Max,9 FL,2FL/G,6/6/2018 Clove Lakes Park,,Victory Blvd. Labau Ave. Royal Oak Rd.,10301 Richmond
524-579,RoundUp Pro Max,6 FL,2FL/G,8/6/2018 Clove Lakes Park,,21 Slosson Ave.,10301 Richmond
524-579,RoundUp Pro Max,6 FL,2FL/G,5/14/2018 Graniteville Quarry Park,,Forest Ave. Matthew Pl. Wilcox,10303 Richmond
524-579,RoundUp Pro Max,4 FL,2FL/G,8/23/2018 Silver Lake Park,,Victory Blvd. SilverLake Park Rd. Theresa Pl.,10301 Richmond
62719-324,GLYPRO(RODEO),13 FL,6.5FL/G,8/9/2018 William T. Davis Wildlife Refuge,,890 Travis Ave.,10314 Richmond
62719-324,GLYPRO(RODEO),19.5 FL,6.5FL/G,8/10/2018 William T. Davis Wildlife Refuge,,890 Travis Ave.,10314 Richmond