EPA REGISTRATION NUMBER,PRODUCT NAME,QTTY USED,UNITS,DATE OF APPLICATION,COUNTY CODE,ADDRESS,MUNICIPALITY,ZIP CODE,DOSAGE RATE,PLACE
000524‐00579,ROUNDUP PROMAX,177 ML,,5/4/2017,58 Orchard Beach Rd/Park Dr,,Bronx,10461 1.5 percent,,Orchard Beach
000524‐00579,ROUNDUP PROMAX,250 ML,,5/4/2017,58 Orchard Beach Rd/Park Dr,,Bronx,10461 3 percent,,Orchard Beach
000524‐00579,ROUNDUP PROMAX,29.5 ML,,5/10/2017,58 Bedford Bark Blvd/Southern Blvd,,Bronx,10458 1.5 percent,,Greenstreet
000524‐00579,ROUNDUP PROMAX,118 ML,,5/10/2017,58 Goulden Ave/Reservoir Ave,,Bronx,10468 1.5 percent,,Greenstreet
000524‐00579,ROUNDUP PROMAX,14.75 ML,,5/10/2017,58 Grand Concourse/E Mosholu Pkwy,,Bronx,10458 1.5 percent,,Greenstreet
000524‐00579,ROUNDUP PROMAX,29.5 ML,,5/10/2017,58 Irwin Ave/Riverdale Ave,,Bronx,10463 1.5 percent,,Greenstreet
000524‐00579,ROUNDUP PROMAX,29.5 ML,,5/10/2017,58 Van Cortlandt Park E/242 St,,Bronx,10470 1.5 percent,,van Cortlandt Park Nursery Rd
000524‐00579,ROUNDUP PROMAX,14.75 ML,,5/10/2017,58 Van Cortlandt Park E/E Mosholu Pkwy,,Bronx,10458 1.5 percent,,Greenstreet
000524‐00579,ROUNDUP PROMAX,18 OZ,,5/11/2017,58 Sedgwick Ave / Dickerson Ave,,Bronx,10463 1.5 percent,,Sedgwick Malls Greenstreets
000524‐00579,ROUNDUP PROMAX,60 ML,,5/11/2017,58 Van Cortlandt Park S/Broadway/W 242 St,,Bronx,10471 1.5 percent,,Van Cortlandt Park Broadway Malls
000524‐00579,ROUNDUP PROMAX,60 ML,,5/11/2017,58 Van Cortlandt Park South/Broadway,,Bronx,10471 1.5 percent,,Van Cortlandt Park Tail
000524‐00579,ROUNDUP PROMAX,12 OZ,,5/27/2017,58 100 City Island Rd,,Bronx,10464 3 percent,,Clay pile
000524‐00579,ROUNDUP PROMAX,6 OZ,,5/28/2017,58 100 City Island Rd,,Bronx,10464 3 percent,,Road curbing
000524‐00579,ROUNDUP PROMAX,2 OZ,,5/28/2017,58 Bailey Ave/E 234 St to E 238 St,,Bronx,10468 1.5 percent,,Bailey Playground
000524‐00579,ROUNDUP PROMAX,2 OZ,,5/28/2017,58 Ellsworth Ave/Schley Ave,,Bronx,10465 1.5 percent,,Vinmont Veteran Bicentennial Park
000524‐00579,ROUNDUP PROMAX,10 OZ,,6/3/2017,58 100 City Island Rd,,Bronx,10464 3 percent,,Soil pile
000524‐00579,ROUNDUP PROMAX,8 OZ,,6/4/2017,58 100 City Island Rd,,Bronx,10464 3 percent,,"Parking lot, around building"
000524‐00579,ROUNDUP PROMAX,5 OZ,,6/4/2017,58 E 161 St / Jerome Ave,,Bronx,10451 2.5 oz/gal,,Greenstreet
000524‐00579,ROUNDUP PROMAX,2.5 OZ,,6/4/2017,58 Fordham Landing/Major Deegan Expy,,Bronx,10468 2.5 oz/gal,,Fordham Landing
000524‐00579,ROUNDUP PROMAX,5 OZ,,6/4/2017,58 Fordham Rd by Hughes St,,Bronx,10451 2.5 oz/gal,,Fordham Median
000524‐00579,ROUNDUP PROMAX,3 OZ,,6/22/2017,58 Bailey Ave / W 234 St,,Bronx,10463 2.5 oz/gal,,Bailey Playground
000524‐00579,ROUNDUP PROMAX,1 OZ,,6/22/2017,58 Schieffelin Ave/E 229 St,,Bronx,10469 2 percent,,Edenwald Playground
000524‐00579,ROUNDUP PROMAX,7.5 OZ,,6/22/2017,58 Stevenson Place/Sedgwick Ave,,Bronx,10463 2.5 oz/gal,,Fort Independence Playground
000524‐00579,ROUNDUP PROMAX,1 OZ,,6/22/2017,58 Taylor Ave/ McGraw Ave,,Bronx,10462 2 percent,,Greenstreet
000524‐00579,ROUNDUP PROMAX,12 OZ,,6/22/2017,58 Van Cortlandt Park E/ E 242 St,,Bronx,10470 2.5 oz/gal,,Van Cortlandt Park
000524‐00579,ROUNDUP PROMAX,66 OZ,,6/25/2017,58 E Fordham Rd Median,,Bronx,10460 1.5 percent,,Median
000524‐00579,ROUNDUP PROMAX,1.5 OZ,,8/15/2017,58 Close Ave/Bruckner Blvd,,Bronx,10472 2 percent,,Colgate Close Park
000524‐00579,ROUNDUP PROMAX,6 OZ,,8/17/2017,58 Bruckner Blvd/E 133 St,,Bronx,10454 1.5 percent,,Greenstreet
000524‐00579,ROUNDUP PROMAX,8 OZ,,8/17/2017,58 Randall Av/Longfellow Av/Hunts Point Av,,Bronx,10474 1.5 percent,,Greenstreet
000524‐00579,ROUNDUP PROMAX,2 OZ,,8/17/2017,58 Southern Blvd/E 149 St/Prospect Av,,Bronx,10455 1.5 percent,,Greenstreet
000524‐00579,ROUNDUP PROMAX,2.5 OZ,,9/5/2017,58 Bailey Ave/ W 233 St,,Bronx,10463 1.5 percent,,Greenstreet
000524‐00579,ROUNDUP PROMAX,2 OZ,,9/5/2017,58 Bailey Ave/E 233 St,,Bronx,10463 1.5 percent,,Greenstreet
000524‐00579,ROUNDUP PROMAX,14 OZ,,9/5/2017,58 Broadway /W 242 St/Van Cortlandt P S,,Bronx,10462 1.5 percent,,Broadway Malls Greenstreets
000524‐00579,ROUNDUP PROMAX,7 OZ,,9/5/2017,58 Broadway/W 242 St/Van Cortlandt Park S,,Bronx,10462 1.5 percent,,Broadway Malls Greenstreets
000524‐00579,ROUNDUP PROMAX,26 OZ,,9/5/2017,58 Sedgwick Ave/Dickerson Ave,,Bronx,10463 1.5 percent,,Sedgwick Malls Greenstreets
000524‐00579,ROUNDUP PROMAX,18 OZ,,9/5/2017,58 Sedgwick Ave/Gouverneur Ave/Dickerson Av,,Bronx,10463 1.5 percent,,Sedgwick Malls Greenstreets
000524‐00579,ROUNDUP PROMAX,7.5 OZ,,9/8/2017,58 Manida St / Lafayette Ave,,Bronx,10474 1.5 percent,,Hunts Point Rec Center
000524‐00579,ROUNDUP PROMAX,2 OZ,,9/14/2017,58 White Plains Rd / Patterson Ave,,Bronx,10473 1.5 percent,,Pugsley Creek Park
000524‐00579,ROUNDUP PROMAX,2 OZ,,9/17/2017,58 Morris Ave/College Ave,,Bronx,10451 1.5 percent,,Patterson Playground
000524‐00579,ROUNDUP PROMAX,1 OZ,,9/17/2017,58 Webster Ave/E Mosholu Pkwy South,,Bronx,10458 1.5 percent,,Webster Houses Garden
000524‐00579,ROUNDUP PROMAX,1 OZ,,9/17/2017,58 White Plains Rd/Stephens Ave/Compton Ave,,Bronx,10473 1.5 percent,,Pugsley Creek Park
000524‐00579,ROUNDUP PROMAX,6 OZ,,9/25/2017,58 Palisade Ave/W 232 St,,Bronx,10463 1.5 percent,,Riverdale Park
000524‐00579,ROUNDUP PROMAX,2 OZ,,9/25/2017,58 Reservoir Oval W/Bainbridge Ave,,Bronx,10467 1.5 percent,,Williamsbridge Oval
000524‐00579,ROUNDUP PROMAX,20 OZ,,11/4/2017,58 Broadway /W 242 St/Van Cortlandt Park S,,Bronx,10471 1.5 percent,,Broadway Malls Greenstreet
000524‐00579,ROUNDUP PROMAX,1 OZ,,11/14/2017,58 Landing Rd off Fordham Rd,,Bronx,10468 1.5 percent,,Fordham Landing Playground