EPA REGISTRATION ,,QTTY ,,DATE OF ,,MUNICIPA,,DOSAGE ,
NUMBER,PRODUCT NAME,USED,UNITS,APPLICATION,Address,LITY,ZIP CODE,RATE,PLACE
000524‐00579,ROUND UP PRO MAX,0.5 FL,,9/13/2017 Hylan Blvd.Saterlee St.Craig St.,,NYC,10307 2Fl/G,,Conference House Park
000524‐00579,ROUND UP PRO MAX,11.5 FL,,9/13/2017 Corbin Ave.Fairfield St.Miles Ave.,,NYC,10308 2Fl/G,,Kingfisher Park
000524‐00579,ROUND UP PRO MAX,2 FL,,5/24/2017 Father Capodanno Blvd.Sand Ln.Seaview Av,,NYC,10305 2FL/G,,South Beach Boardwalk
000524‐00579,ROUND UP PRO MAX,4 FL,,10/18/2017 Drumgoole Rd. WRathburn Ave.Carlton Blvd,,NYC,10302 5FL/G,,Drumgoole Tot Lot
000524‐00579,ROUND UP PRO MAX,6 FL,,10/18/2017 Victory Blvd.Christopher Ln..Loop Rd.,,NYC,10314 5FL/G,,Willowbrook Park
000524‐00579,ROUND UP PRO MAX,2 FL,,10/18/2017 Morani St.VictoryBlvd.Ballfield Parking,,NYC,10314 5FL/G,,Willowbrook Park
062719‐00324,RODEO,30 FL,,8/24/2017 Clove Rd Brookside Ave Forest Ave,,NYC,10311 2 fl / gal,,Clove Lakes Park
062719‐00324,RODEO,12 FL,,9/1/2017 Palmer Dr Mosel Ave Hanover Ave ,,NYC,10304 2 fl / gal,,Eibs Pond Park
000524‐00579,ROUND UP PRO MAX,6 FL,,10/18/2017 Drumgoole Rd West Rathbun Ave,,NYC,10312 5 fl / gal,,Drumgoole Tot Lot
000524‐00579,ROUND UP PRO MAX,2 FL,,10/18/2017 Mosani St Victory Blvd Ballpark Pl ,,NYC,10314 5 fl / gal,,Willowbrook Park
000524‐00579,ROUND UP PRO MAX,4 FL,,10/18/2017 Victory Blvd Christopher lane Loop Rd ,,NYC,10321 5 fl / gal,,Willowbrook Park
062719‐00324,RODEO,4 FL,,10/26/2017 Fr Cappadonna Sand Ln Seaview Ave ,,NYC,10305 2 fl / gal,,South Beach Boardwalk
000524‐00579,ROUND UP PRO MAX,15 FL,,7/11/2017 Shore Rd Sutterlee St Surf Ave Billop Av ,,NYC,10312 5 FL / gal,,Conference House Park
000524‐00579,ROUND UP PRO MAX,50 FL,,7/11/2017 Eylanot St Barclay Ave Shirley Ave ,,NYC,10312 5 FL / gal,,Blue Heron Park
000524‐00579,ROUND UP PRO MAX,20 FL,,7/18/2017 Travis Ave.Mulberry Ave.Richmond Ave. ,,NYC,10314 5FL/G,,FreshKills Park
06271900517,Accord XRT,500 ML,,6/14/2017 na Rockland Ave,,NYC,10314,,1 Highrock Park
06271900517,Accord XRT,500 ML,,7/26/2017 na Rockland Ave,,NYC,10314,,1 Highrock Park